species,tmax,tmin,tmax_metric,tmin_metric,lat,longitude,hemisphere,altitude,phylum,class,order,family,genus,sim_altitude,Ref.
Celatoblatta_quinquemaculata,NA,-8.9,0,leth,-45.47,170.05,S,1250,Arthropoda,Insecta,Blattodea,Blattidae,Celatoblatta,944,Sinclair_1997
Onychiurus_vontoernei,NA,-4.9,0,crit,47,10.5,N,2700,Arthropoda,Insecta,Colembola,Onychiuridae,Onychiurus,2106,Somme_2008
cf_Derocalymma_sp,NA,-6.7,0,leth,-32.3,19.1,S,1926,Arthropoda,Insecta,Coleoptera,Blaberidae,cf.Derocalymma,921,Sinclair_2005
cf_Perisphaeria_sp1,NA,-11.3,0,leth,-29.6,29.3,S,3200,Arthropoda,Insecta,Coleoptera,Blaberidae,cf.Perisphaeria,2839,Sinclair_2005
cf_Perisphaeria_sp2,NA,-8.6,0,leth,-32.4,20.5,S,1550,Arthropoda,Insecta,Coleoptera,Blaberidae,cf.Perisphaeria,1571,Sinclair_2005
cf_Perisphaeria_sp3,NA,-7.9,0,leth,-32.3,19.1,S,1926,Arthropoda,Insecta,Coleoptera,Blaberidae,cf.Perisphaeria,921,Sinclair_2005
Calathus_melanocephalus_L,NA,-3.8,0,crit,60.6,7.5,N,1200,Arthropoda,Insecta,Coleoptera,Carabidae,Calathus,1431,Nylund_1991
Colpodes_sp1,NA,-5,0,leth,0.6,-71.2,N,4200,Arthropoda,Insecta,Coleoptera,Carabidae,Colpodes,190,Somme_1986
Colpodes_sp2,NA,-5,0,leth,0.6,-71.2,N,4200,Arthropoda,Insecta,Coleoptera,Carabidae,Colpodes,190,Somme_1986
Pterostichini_sp,NA,-5.1,0,leth,-29.6,29.3,S,3200,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichini,2839,Sinclair_2005
Chirodica_chalcoptera,41,0.1,crit,crit,-33.6,18.58,S,350,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chirodica,126,Terblanche_2005
Chrysomela_aeneicollis,39,NA,crit,0,37.18,-118.28,N,3200,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysomela,1617,Neargarder_2003
Melasoma_collaris,NA,-5,0,leth,61.4,8.8,N,1450,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Melasoma,1345,Gehrken_1997
Canthon_humectus_hidalgoensis,NA,-10.5,0,leth,20.4,99.13,N,2016,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Canthon,1000,Verdu_2011
Afrinus_sp,NA,-7.9,0,leth,-32.4,20.5,S,1550,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Afrinus,1571,Sinclair_2005
cf_Planostibes_sp,NA,-7.6,0,leth,-32.4,20.5,S,1550,Arthropoda,Insecta,Coleoptera,Tenebrionidae,cf.Planostibes,1571,Sinclair_2005
cf_Psorodes_sp,NA,-7.1,0,leth,-32.3,19.1,S,1926,Arthropoda,Insecta,Coleoptera,Tenebrionidae,cf.Psorodes,921,Sinclair_2005
cf_Somaticus_sp,NA,-7.8,0,leth,-32.4,20.5,S,1550,Arthropoda,Insecta,Coleoptera,Tenebrionidae,cf.Somaticus,1571,Sinclair_2005
Gonocephalum_simplex,49.5,NA,crit,0,-32.919,18.226,S,0,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Gonocephalum,41,Klok_2004
Stenocara_dentata,NA,-8.9,0,leth,-32.3,19.1,S,1926,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Stenocara,921,Sinclair_2005
Diamesa_sp,NA,-16,0,crit,28.2,85.6,N,5600,Arthropoda,Insecta,Diptera,Chironomidae,Diamesa,4901,Koshima_1984
Glossina_pallidipes,44.4,10.5,leth,crit,-1.7,36.67,S,1691,Arthropoda,Insecta,Diptera,Glossinidae,Glossina,1767,Terblanche_2006
Tetracanthella_afurcata,NA,-7.7,0,crit,47,10.5,N,2700,Arthropoda,Insecta,Entomobryomorpha,Isotomidae,Tetracanthella,2106,Somme_2008
