"","trainPres","bio1","bio5","bio6"
"314",1,17.2,29.3,6.1
"848",1,13.9,21.9,6.3
"444",1,16.9,24.4,8.5
"946",1,15.9,34.9,2.1
"1011",0,16.2,35.4,2
"49",1,15.6,26.2,6.1
"570",1,16.9,24.4,8.5
"952",1,17.6,33.6,4.7
"593",1,16.9,24.4,8.5
"491",1,17.4,31.6,5.1
"1026",0,12,30.7,-0.8
"486",1,16.8,32.4,4
"724",1,18.2,28.8,8.4
"614",1,17.6,27.5,8.3
"110",1,13.7,23.8,4
"1083",0,15.5,32.9,2.3
"264",1,14,33.2,0.1
"45",1,14.5,26.8,3.8
"352",1,17,26,7.8
"1086",0,14.7,33.8,0.2
"937",1,17.9,32,5.8
"733",1,14.2,33.5,0.3
"679",1,17.6,33.6,4.7
"1060",0,8.4,27.8,-4.8
"693",1,17.2,25.9,8.1
"747",1,16.9,26.2,7.1
"576",1,15.6,28.1,5.3
"628",1,14.3,31.1,1.8
"307",1,13.7,23.8,4.6
"156",1,17.3,28,7.2
"1010",0,21.7,40.5,4.9
"941",1,13.9,30.6,1.8
"723",1,18.3,31.8,5.8
"830",1,13.5,28.7,2.7
"27",1,15.9,27.5,5.4
"501",1,14.1,25.2,4.7
"790",1,17.6,30.8,5.8
"227",1,17.8,30,6.2
"335",1,15.8,32.6,2.2
"243",1,17.8,27.8,8.2
"150",1,16.9,29.6,5.2
"433",1,13.8,23.4,4.3
"432",1,14.3,31.1,1.8
"385",1,17.6,30.9,5.4
"159",1,10.3,27.8,-3
"146",1,16.3,32.4,3.5
"242",1,13.9,24.1,4.1
"483",1,17.6,30.8,5.8
"277",1,15.5,26.8,5.4
"880",1,16.5,31.3,4.7
"48",1,17.3,32.3,4.7
"457",1,16.5,29.7,5.5
"818",1,17.5,27.2,8.7
"127",1,17.4,29.9,6.2
"577",1,16.2,29.7,5.2
"213",1,15.3,28.2,4.7
"133",1,15.3,26.8,4.8
"769",1,17.8,30,6.3
"909",1,17.4,30.4,5.9
"1041",0,11.3,26.8,0.5
"1066",0,16.2,34.3,3.6
